year,FOD1,wfh,perwt
2021.0,5201,0.20958971824023728,14
2021.0,5202,0.19486215538847118,23
2021.0,5203,0.08740025978845797,43
2021.0,5205,0.4310595065312046,25
2021.0,5206,0.0,5
2021.0,5299,0.26460375816993464,95
2021.0,5301,0.13294431104764792,2042
2021.0,5401,0.2302081480163672,41
2021.0,5402,0.4291692692067458,136
2021.0,5403,0.2528658125421443,147
2021.0,5404,0.18235765313629007,505
2021.0,5500,0.20770763101440393,94
2021.0,5501,0.45242302570619897,1724
2021.0,5502,0.2765260971645295,409
2021.0,5503,0.137664697864607,325
2021.0,5504,0.29468309999601133,224
2021.0,5505,0.3649043497436463,319
2021.0,5506,0.35015219462323116,1526
2021.0,5507,0.2416907367478947,1072
2021.0,5599,0.5030864197530864,58
2021.0,5601,0.08525173898641934,201
2021.0,5701,0.07640354579991558,23
2021.0,5901,0.11248226340456637,183
2021.0,6000,0.24483397290786496,697
2021.0,6001,0.23612108159846854,584
2021.0,6002,0.2403537312810245,642
2021.0,6003,0.2047152111579171,238
2021.0,6004,0.33923650686018497,1245
2021.0,6005,0.3295014369611396,545
2021.0,6006,0.2540811278753401,148
2021.0,6007,0.22066362195917608,194
2021.0,6099,0.36674856674856676,120
2021.0,6100,0.19517048280959082,543
2021.0,6102,0.16494557633268211,240
2021.0,6103,0.21644529677770674,363
2021.0,6104,0.0,100
2021.0,6105,0.08091391645511194,221
2021.0,6106,0.16632541632541634,110
2021.0,6107,0.0354848141254662,3588
2021.0,6108,0.19094766619519093,82
2021.0,6109,0.10801645680089765,355
2021.0,6110,0.20041962976029115,510
2021.0,6199,0.14213290984607868,123
2021.0,6200,0.2990929725452398,2692
2021.0,6201,0.34152971758382167,1922
2021.0,6202,0.6011116367076632,71
2021.0,6203,0.2752372156379153,3389
2021.0,6204,0.4366365040829839,405
2021.0,6205,0.4041270336296065,175
2021.0,6206,0.37976242659604914,2350
2021.0,6207,0.407802384757584,2268
2021.0,6209,0.3246925802417674,317
2021.0,6210,0.4441592201462226,256
2021.0,6211,0.14322774621842033,598
2021.0,6212,0.5365619063649698,372
2021.0,6299,0.2984579018460153,307
2021.0,6402,0.24678750169078859,1043
2021.0,6403,0.45304437564499483,13
2022.0,1100,0.08241587360826025,162
2022.0,1101,0.10235290146170206,326
2022.0,1102,0.11935483870967742,41
2022.0,1103,0.10095484627219224,368
2022.0,1104,0.11644374508261211,72
2022.0,1105,0.0781524926686217,149
2022.0,1106,0.058297347316471314,25
2022.0,1199,0.19215776198119697,51
2022.0,1301,0.19639206994212535,712
2022.0,1302,0.027547659447050604,81
2022.0,1303,0.1569663921655909,307
2022.0,1401,0.22867140063805702,420
2022.0,1501,0.22980670045297574,430
2022.0,1901,0.26404329474639576,2484
2022.0,1902,0.29861920675630166,654
2022.0,1903,0.25847260579487324,924
2022.0,1904,0.3327921846741003,632
2022.0,2001,0.24583416483735782,341
2022.0,2100,0.3178526577702663,710
2022.0,2101,0.39446334958153223,89
2022.0,2102,0.43619433806412855,2953
2022.0,2105,0.4457785035059072,288
2022.0,2106,0.37132812965500805,288
2022.0,2107,0.19567627494456763,101
2022.0,2201,0.12359764213728845,84
2022.0,2300,0.087030407711273,1132
2022.0,2301,0.0,6
2022.0,2303,0.25806451612903225,3
2022.0,2304,0.05171088879222851,1306
2022.0,2305,0.07371412854130376,101
2022.0,2306,0.07141551398452257,154
2022.0,2307,0.06794307891332471,360
2022.0,2308,0.08412498569302965,87
2022.0,2309,0.11431727184868148,132
2022.0,2310,0.06811222122552507,305
2022.0,2311,0.10128222616287,133
2022.0,2312,0.05192643094973839,127
2022.0,2313,0.08664700926705982,208
2022.0,2314,0.04592095619326831,328
2022.0,2399,0.09030715468089019,100
2022.0,2400,0.16448541787033083,642
2022.0,2401,0.14890867819102496,262
2022.0,2402,0.12927730632356968,134
2022.0,2403,0.1501943364797335,30
2022.0,2404,0.2121223753406779,253
