acs_code,acs_title,eloundou_mean,handa_mean,handa_auto_mean,eisfeldt_mean,occ_top5_mean,eloundou_std,handa_std,handa_auto_std,eisfeldt_std
2412,Industrial and Manufacturing Engineering,0.4879247667092926,0.14970540887929498,0.361411238,0.3446855054790428,0.19466076899461818,0.7995237543622421,-0.403774725,0.39953524293570714,1.1467568674837885
2413,Materials Engineering,0.46123087458947765,0.11701522146451832,0.39576962817794287,0.3215198796483289,0.1389730712615811,0.41851347090266144,-0.978477638,0.8209023026571138,0.7972341644804803
2414,Mechanical Engineering,0.46891186875145496,0.10385586386325801,0.35403531985349795,0.3074838308080654,0.1095435224301383,0.5281467064672117,-1.209822936,0.3090778865308298,0.5854584168280736
2418,Nuclear Engineering,0.47767398081431234,0.11021892697013447,0.3890736047599909,0.30015648837451386,0.13104075140130284,0.6532110764657612,-1.097958453,0.738783096,0.4749035562807622
2419,Petroleum Engineering,0.46748296302444353,0.10538110815816357,0.2514018553370908,0.28541053472065336,0.13868795904740708,0.5077514874544881,-1.183008702,-0.949606279,0.2524167727540513
2499,Energy Systems Engineering,0.44998982166034635,0.10709692064171854,0.346686884,0.2805261999919045,0.11481605998553338,0.25806640144990006,-1.152844224,0.21895757765035723,0.17872198508715456
2500,Engineering Technologies,0.4521835219999382,0.1637833440788087,0.33740082393831844,0.2955226175204411,0.25763922571541953,0.28937777352189725,-0.156280569,0.10507447779684662,0.4049877647489675
2501,Engineering and Industrial Management,0.40699071878519233,0.1271343208994821,0.3459220806761258,0.2672448144763265,0.10785272075594657,-0.355673262,-0.800580955,0.2095781207129993,-0.021667411
2502,Electrical Engineering Technology,0.4694714424562856,0.15826873100276123,0.3375958462372618,0.29846752882932803,0.23602228629652916,0.5361336772295525,-0.253229055,0.10746620724668693,0.44942055358484945
2503,Industrial Production Technologies,0.4199897556937754,0.095053702,0.3774820528407016,0.27432473271658503,0.1355873793842855,-0.170133937,-1.36456748,0.5966257315304628,0.085154316
2504,Mechanical Engineering Related Technologies,0.4238547990912171,0.086535166,0.34976042283440106,0.2758867317226233,0.12161017918850264,-0.114966962,-1.514325793,0.2566510761045099,0.10872173981740409
2599,Energy Systems Technologies/Technicians,0.4458549275039956,0.12300436695263794,0.34351190307993024,0.2780957829371432,0.2070884996803029,0.19904776199802643,-0.873186735,0.18001999957814172,0.14205187979350797
2601,Linguistics and Comparative Language and Literature,0.4388826235634483,0.18536894791438832,0.36449709591572405,0.26594245758188373,0.22634357522747975,0.099529884,0.2232005653034025,0.4373798193930183,-0.041317357
2602,"French, German, Latin and Other Common Foreign Language Studies",0.43732332643520144,0.1843348433558193,0.3550200091495834,0.27546824110326734,0.21821605330504076,0.077273548,0.2050207092458195,0.32115399475614687,0.10240755804102028
